n,se,lcl,ucl,period,year
129.570065,22.9688549,91.78575732,182.9085713,1986_2F,1986
149.4621962,19.2383619,116.255853,192.1533198,1987_2F,1987
169.2256262,16.11258694,140.4757749,203.8594382,1988_2F,1988
185.4246305,13.54571021,160.7188089,213.9282503,1989_2F,1989
199.4096929,11.5083342,178.0990655,223.2702655,1990_2F,1990
212.3467249,9.982742298,193.6647753,232.8308361,1991_2F,1991
221.7889765,8.943133419,204.9417823,240.0210906,1992_2F,1992
230.8040702,8.348868963,215.0118883,247.7561554,1993_2F,1993
238.5870578,8.127649227,223.1813647,255.0561702,1994_2F,1994
246.1696615,8.189374992,230.6347518,262.750959,1995_2F,1995
253.579268,8.443548457,237.5626794,270.6757027,1996_2F,1996
259.9761928,8.811299802,243.2718147,277.8275851,1997_2F,1997
265.4988404,9.235453997,248.0057461,284.2258108,1998_2F,1998
270.2666996,9.678238407,251.9534177,289.9110859,1999_2F,1999
274.3829285,10.1162493,255.2608079,294.9375271,2000_2F,2000
276.2099292,10.52688062,256.3359787,297.6247243,2001_2F,2001
279.5138881,10.913911,258.9282204,301.7361859,2002_2F,2002
282.3662901,11.27339633,261.1209798,305.3401601,2003_2F,2003
283.102193,11.59481278,261.2733717,306.7547648,2004_2F,2004
284.6008476,11.88515231,262.2431675,308.8646435,2005_2F,2005
285.0313502,12.14156135,262.2101637,309.8387548,2006_2F,2006
284.539687,12.3627611,261.3222321,309.8199216,2007_2F,2007
285.8418771,12.56235293,262.2612267,311.5427305,2008_2F,2008
286.9660949,12.74188423,263.059145,313.0457207,2009_2F,2009
286.2100072,12.89375149,262.0335753,312.6170688,2010_2F,2010
281.2406125,12.99901264,256.8949386,307.8935014,2011_2F,2011
282.1303635,13.09507493,257.6094878,308.9852888,2012_2F,2012
281.1718538,13.17323264,256.5152411,308.1984955,2013_2F,2013
283.7976592,13.2549223,258.9845804,310.9880566,2014_2F,2014
286.0645919,13.33770117,261.0945623,313.4226542,2015_2F,2015
287.158371,13.41514683,262.0456349,314.677747,2016_2F,2016
