"Year","ProdEst","varProdEst","SDProd","Method"
1987,0.207784355069557,0.126969007096568,0.356327106878734,"StandardIGR"
1988,0.132692076917188,0.154547100405879,0.393124789864337,"StandardIGR"
1989,0.282818860340812,0.152404415970125,0.390390081802964,"StandardIGR"
1990,0.223643748473308,0.0867901929822622,0.29460175318939,"StandardIGR"
1991,0.583849408767044,0.0887038791242555,0.297831964577773,"StandardIGR"
1992,0.570597717571748,0.0755014732030344,0.274775314035003,"StandardIGR"
1993,0.130397047179951,0.0484010053830884,0.220002284949699,"StandardIGR"
1994,0.623293475846674,0.0378604576242789,0.194577639065435,"StandardIGR"
1995,0.598582695986243,0.116140435851174,0.340793831885458,"StandardIGR"
1996,0.277573769961394,0.120896666530657,0.347701979474747,"StandardIGR"
1997,0.54169832711276,0.158364052071118,0.397949810995204,"StandardIGR"
1998,0.476199276034394,0.0699812317985017,0.264539660161764,"StandardIGR"
1999,0.444340049934717,0.193157763340989,0.439497171027288,"StandardIGR"
2000,0.25905758347086,0.14225107631929,0.37716187018214,"StandardIGR"
2001,0.585775183408187,0.115819537040654,0.340322695453379,"StandardIGR"
2002,0.356432784987576,0.0961016806961126,0.310002710788329,"StandardIGR"
2003,0.229377980738171,0.103123419934614,0.321128354298735,"StandardIGR"
2004,0.300793989353976,0.127439914185298,0.356987274542522,"StandardIGR"
2005,0.317346793830282,0.205824042483886,0.453678346941846,"StandardIGR"
2006,0.424115608951769,0.203282939171157,0.450869093164698,"StandardIGR"
2007,0.497668822994602,0.192614357071307,0.438878521998179,"StandardIGR"
2008,0.183845246641252,0.143138254201651,0.378336165600979,"StandardIGR"
2009,0.0577551641752405,0.0506882908481226,0.225140602397974,"StandardIGR"
2010,0.423484185101553,0.0571698680190068,0.239102212492914,"StandardIGR"
2011,0.754971678591032,0.0833603007783504,0.288721839801478,"StandardIGR"
2012,0.653648480145179,0.101663432976467,0.318847036957327,"StandardIGR"
2013,0.223734559130957,0.120496634855043,0.347126252039575,"StandardIGR"
2014,0.260906115427027,0.0712719867039309,0.266968137993902,"StandardIGR"
2015,0.176775901290593,0.068115004273486,0.260988513681131,"StandardIGR"
2016,0.370667450278628,0.101811680938722,0.319079427319786,"StandardIGR"
